risk_type,rows,char_mean,char_median,char_min,char_max,char_p25,char_p75,word_mean,word_median,word_min,word_max,word_p25,word_p75
no_risk,729,466.440329218107,447.0,65,1125,347.0,564.0,60.91358024691358,58.0,8,143,46.0,75.0
sanctions,60,466.3666666666667,464.0,230,837,346.0,581.0,61.5,61.0,31,110,46.0,75.75
fraud_phishing,15,545.5333333333333,586.0,256,748,431.0,655.0,66.33333333333333,67.0,32,100,57.0,75.0
legal_regulatory,12,452.8333333333333,510.5,97,837,241.75,603.25,59.5,66.5,13,120,33.0,76.5
operational_issue,9,235.88888888888889,279.0,63,373,188.0,280.0,31.555555555555557,34.0,10,50,23.0,40.0
data_leak_security,7,286.7142857142857,230.0,96,518,195.5,386.0,39.57142857142857,31.0,15,67,28.5,53.5
other_risk,3,273.6666666666667,265.0,247,309,256.0,287.0,37.666666666666664,38.0,35,40,36.5,39.0
