dataset,scheme,threshold,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn
valid,student v1 threshold 0.50,0.5,0.7837837837837838,0.7631578947368421,0.7733333333333333,0.9007177033492824,0.8114641097559258,29,8,9,80
valid,student v2b threshold 0.50,0.5,0.7380952380952381,0.8157894736842105,0.775,0.909988038277512,0.8235925330369597,31,11,7,77
valid,LLM-distilled student v2b selected threshold 0.50,0.5,0.7380952380952381,0.8157894736842105,0.775,0.909988038277512,0.8235925330369597,31,11,7,77
test,LLM-distilled student v2b selected threshold 0.50,0.5,0.7727272727272727,0.8947368421052632,0.8292682926829268,0.9688995215311005,0.9360734317764023,34,10,4,78
